Year,Class,Event,Name,School,Mark,Tie
1937,A,Pole Vault,,,,
1937,B,Pole Vault,"Burke, Roy",Wrens,Nov-00,
1937,C,Pole Vault,"Lowrey, Felton",Preston,10-5.5,
1937,A,Relay--Half Mile,,,,
1937,B,Relay--Half Mile,,Bainbridge,1:37,
1937,C,Relay--Half Mile,,Nelson,01:42.5,
1937,A,Shot Put,,,,
1937,B,Shot Put,"Woodruff, Louis",Spalding,45-7.5,
1937,C,Shot Put,"Sosbee, John",Nelson,41-1,
1938,A,100yd Dash,,,,
1938,B,100yd Dash,"Westmoreland, Marvin",Toccoa,10.5,
1938,C,100yd Dash,"Seckinger, Hugh",Springfield,10.7,
1938,A,120yd Low Hurdles,,,,
1938,B,120yd Low Hurdles,"Connell, James",Nashville,15.2,
1938,C,120yd Low Hurdles,"Fordham, Billy",Gibson,15.5,
1938,A,220yd Dash,,,,
1938,B,220yd Dash,"Taylor, Robert",LaGrange,24,
1938,C,220yd Dash,"Woddail, Charley",Lumpkin,24.3,
1938,A,440yd Dash,,,,
1938,B,440yd Dash,"Cornelius, T",Waycross,54.3,
1938,C,440yd Dash,"Camp, Lamar",Greenville,55.5,
1938,A,Discus,,,,
1938,B,Discus,"Griffin, W.J.",Eatonton,106-3,
1938,C,Discus,"Johnson, A.Z.",Tucker,102-4,
1938,A,High Jump,,,,
1938,B,High Jump,"Byrd, Lane",Franklin,10-May,
1938,C,High Jump,"Cole, Woodrow",Nichols,6-May,
1938,A,Long Jump,,,,
1938,B,Long Jump,"Hilton, James",Canton,20-6,
1938,C,Long Jump,"Marshall, Lenice",Alvaton,20-0.5,
1938,A,Pole Vault,,,,
1938,B,Pole Vault,"Howard, Crawford","Lee High, Chickamauga",1-Nov,
1938,C,Pole Vault,"Cole, Woodrow",Nichols,1-Nov,
1938,A,Relay--Half Mile,,,,
1938,B,Relay--Half Mile,,District xxxxxxxxxxxxxxx,,
1938,C,Relay--Half Mile,,Edison,01:41.3,
1938,A,Shot Put,,,,
1938,B,Shot Put,"Arthur, Harry",Albany,49-0,
1938,C,Shot Put,"Fordham, Billy",Gibson,42-0,
1939,A,100yd Dash,,,,
1939,B,100yd Dash,"Phillips, Carlos",Valdosta,10.3,
1939,C,100yd Dash,"Smith, Carl",Louisville,10.3,
1939,A,120yd Low Hurdles,,,,
1939,B,120yd Low Hurdles,"Tankserly, Hoover",Ellijay,14.5,
1939,C,120yd Low Hurdles,"Dews, Kenneth",Edison,15.3,
1939,A,220yd Dash,,,,
1939,B,220yd Dash,"Phillips, Carlos",Valdosta,24.8,
1939,C,220yd Dash,"Smith, Carl",Louisville,24.5,
1939,A,440yd Dash,,,,
1939,B,440yd Dash,"Sloman, Melvin",Hogansville,54,
1939,C,440yd Dash,"Evans, Benjamin",Gay,55.4,
1939,A,Discus,,,,
1939,B,Discus,"Howard, Crawford","Lee High, Chickamauga",117-1,
1939,C,Discus,"Bramlett, Clyde",Greenville,103-6,
1939,A,High Jump,,,,
1939,B,High Jump,"Connell, James",Nashville,8-May,Tie
1939,B,High Jump,"Ward, Norris",Bainbridge,8-May,Tie
1939,C,High Jump,"Pool, Roy",Louisville,5-May,
1939,A,Long Jump,,,,
1939,B,Long Jump,"Gay, Charles",Millen,20-10,
1939,C,Long Jump,"Stewart, R",Ochlochnee,20-10,
1939,A,Pole Vault,,,,
1939,B,Pole Vault,"Williams, Fonzo",Ellijay,Nov-00,
1939,C,Pole Vault,"Kilgore, John",Stapleton,Nov-00,Tie
1939,C,Pole Vault,"Mason, H",Ochlochnee,Nov-00,Tie
1939,A,Relay--Half Mile,,,,
1939,B,Relay--Half Mile,,Waycross,1:35,
1939,C,Relay--Half Mile,,Edison,01:39.4,
1939,A,Shot Put,,,,
1939,B,Shot Put,"Stevens, Willie",Albany,46-1.75,
1939,C,Shot Put,"Thomas, Franklin",Louisville,42-6.5,
1940,A,100yd Dash,,,,
1940,B,100yd Dash,"Morgan, Bobby",Carrollton,10.3,
1940,C,100yd Dash,"Truitt, Earnest",Chipley,10.8,
1940,A,120yd Low Hurdles,,,,
1940,B,120yd Low Hurdles,"Hollingsworth, W",Cave Spring,14.8,
1940,C,120yd Low Hurdles,"Fouler, Richard",Woodbury,15.3,
1940,A,220yd Dash,,,,
1940,B,220yd Dash,"Davis, Ellis",Zebulon,23.1,
1940,C,220yd Dash,"Truitt, Earnest",Chipley,24,
1940,A,440yd Dash,,,,
1940,B,440yd Dash,"Bottom, David",Canton,54.3,
1940,C,440yd Dash,"Ragan, Mack",Edison,55.2,
1940,A,Discus,,,,
1940,B,Discus,"Beeland, William",Greensboro,123-0,
1940,C,Discus,,,,
1940,A,High Jump,,,,
1940,B,High Jump,"Mullis, Jack","Lee High, Chickamauga",8-May,
1940,C,High Jump,"White, James",Edison,6-May,Tie
1940,C,High Jump,"Wilson, John",Crawford,6-May,Tie
1940,A,Long Jump,,,,
1940,B,Long Jump,"Rogers, C.D.",Waycross,19-10.75,
1940,C,Long Jump,"Ragan, Mack",Edison,19-3.5,
1940,A,Pole Vault,,,,
1940,B,Pole Vault,"Wilhoit, W",Warrenton,Nov-00,Tie
1940,B,Pole Vault,"Wilkins, Gordon",Colquitt,Nov-00,Tie
1940,C,Pole Vault,"Dews, Kenneth",Edison,11-5.5,
1940,A,Relay--Half Mile,,,,
1940,B,Relay--Half Mile,,Athens,01:38.5,
1940,C,Relay--Half Mile,,Edison,01:43.3,
1940,A,Shot Put,,,,
1940,B,Shot Put,"Adkins, W.D.","Lee High, Chickamauga",44-9.5,
1940,C,Shot Put,"Calhoun, T.A.",Montezuma,42-7.5,
1941,A,100yd Dash,"Stilwell, Howard",Boys' High,9.9,
1941,B,100yd Dash,"Morgan, Bobby",Carrollton,10.6,
1941,C,100yd Dash,"Richardson, Buford",Gordon,11.1,
1941,A,120yd High Hurdles,,,,
1941,B,120yd Low Hurdles,"Townsend, William",Athens,15.3,
1941,C,120yd Low Hurdles,"Fowler, Richard",Woodbury,15,
1941,A,200yd Low Hurdles,"Anderson, Carl","GMA, College Park",23.8,
1941,A,220yd Dash,"Stilwell, Howard",Boys' High,22.7,
1941,B,220yd Dash,"Morgan, Bobby",Carrollton,23.3,
1941,C,220yd Dash,"Irby, Marcus",Marshallville,24,
1941,A,440yd Dash,"LeBourgeois, Julian","GMA, College Park",52.7,
1941,B,440yd Dash,"Dorough, Jim",Cordele,53.1,
1941,C,440yd Dash,"Booth, W",Meigs,56.2,
1941,A,880yd Run,"Atkinson, Albert",Richmond Aca.,02:05.8,
1941,A,Discus,"Townsend, Harold","Riverside, Gainesville",106-4,
1941,B,Discus,"Harrison, Norman",Cairo,111-8,
1941,C,Discus,"Beddingfield, Walter",Cadwell,107-7,
1941,A,High Jump,"Atkinson, Jack",Richmond Aca.,10-May,Tie
1941,A,High Jump,"Weaver, Comer",Tech High,10-May,Tie
1941,B,High Jump,"Mullis, Jack",Chickamauga,10-May,
1941,C,High Jump,"Beddingfield, Walter",Cadwell,6-May,
1941,A,Javelin,"Hall, Herman","Riverside, Gainesville",179-8,
1941,A,Long Jump,"Edwards, Clyde","GMA, College Park",19-11,
1941,B,Long Jump,"Gatewood, Jim",Americus,21-4.5,
1941,C,Long Jump,"Ramsey, Richard",Evans,19-4.75,
1941,A,Mile Run,"Weed, Dick","Riverside, Gainesville",04:50.4,
1941,A,Pole Vault,"Wagner, Billy","GMA, College Park",8-Nov,Tie
